Year,Month,Day,num_lines,num_retweets
2017,1,1,14518,9278
2017,1,15,12626,5461
2017,2,1,15092,7203
2017,2,15,15460,8312
2017,3,1,13801,8745
2017,3,15,15822,11546
2017,4,1,12635,5943
2017,4,15,11345,5865
2017,5,1,18084,16679
2017,5,15,20759,21498
2017,6,1,20713,17061
2017,6,15,23624,23148
2017,7,1,15798,17595
2017,7,15,16572,15795
2017,8,1,34790,32597
2017,8,15,23308,26954
2017,9,1,28413,30816
2017,9,15,44440,42888
2017,10,1,24046,24150
2017,10,15,27509,22111
2017,11,1,40860,35012
2017,11,15,25701,26588
2017,12,1,72219,88705
2017,12,15,80800,124128
